Restaurant ID,Restaurant Name,Country Code,Country,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,cost for 2,Currency,Avg Cost for 2,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
16611114,Whitebull Hotel,14,Australia,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Armidale, Armidale",151.6688792,-30.5147169,"Bar Food, Steak",20,Dollar($),,No,No,No,No,2,3.5,Yellow,Good,25
16608864,Taste of Balingup,14,Australia,Balingup,"63 South Western Hwy, Balingup, WA",Balingup,"Balingup, Balingup",115.9844924,-33.7845269,Modern Australian,20,Dollar($),,No,No,No,No,2,3.2,Orange,Average,21
16604911,Bridge Road Brewers,14,Australia,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,"Beechworth, Beechworth",146.685852,-36.360439,"Pizza, Bar Food",20,Dollar($),,No,No,No,No,2,4.6,Dark Green,Excellent,237
16615894,The Giggling Goat,14,Australia,Dicky Beach,"14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,"Dicky Beach, Dicky Beach",153.137401,-26.783576,"Coffee and Tea, Tea, Modern Australian",7,Dollar($),,No,No,No,No,1,3.6,Yellow,Good,29
16612028,The Belle General,14,Australia,East Ballina,"12 Shelly Beach Rd, East Ballina, NSW",East Ballina,"East Ballina, East Ballina",153.593331,-28.862663,Cafe,20,Dollar($),,No,No,No,No,2,4.1,Green,Very Good,56
16613507,Flaxton Gardens,14,Australia,Flaxton,"313 Flaxton Drive, Flaxton, QLD",Flaxton,"Flaxton, Flaxton",152.8771473,-26.6521332,"Tea, Modern Australian",30,Dollar($),,No,No,No,No,3,3.5,Yellow,Good,37
16607969,Bespoke Harvest,14,Australia,Forrest,"16 Grant St, Forrest, VIC",Forrest,"Forrest, Forrest",143.714315,-38.517292,"Cafe, Australian",20,Dollar($),,No,No,No,No,2,3.7,Yellow,Good,29
16604358,Blue Bean Love Cafe,14,Australia,Hepburn Springs,"115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.1387014,-37.3123267,"Cafe, Coffee and Tea, Modern Australian",20,Dollar($),,No,No,No,No,2,3.8,Yellow,Good,192
16604896,La Trattoria of Lavandula,14,Australia,Hepburn Springs,"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,"Hepburn Springs, Hepburn Springs",144.110062,-37.275494,"Italian, Fusion, Cafe",7,Dollar($),,No,No,No,No,1,3.8,Yellow,Good,93
16612550,5 Little Pigs,14,Australia,Huskisson,"64 Owen St, Huskisson, NSW",Huskisson,"Huskisson, Huskisson",150.6710743,-35.0388698,"Breakfast, Modern Australian",20,Dollar($),,No,No,No,No,2,4.1,Green,Very Good,40
16606299,Beach Box Cafe,14,Australia,Inverloch,"6a Ramsay Blvd, Inverloch, VIC",Inverloch,"Inverloch, Inverloch",145.7287133,-38.6347458,"Burger, Coffee and Tea, Modern Australian",7,Dollar($),,No,No,No,No,1,3.7,Yellow,Good,100
16605794,Funkey Monkey,14,Australia,Lakes Entrance,"26 Myer street, Lakes Entrance, VIC",Lakes Entrance,"Lakes Entrance, Lakes Entrance",147.9942247,-37.8783865,"Breakfast, Coffee and Tea",7,Dollar($),,No,No,No,No,1,3.8,Yellow,Good,97
16611498,Stillwater on Belmore,14,Australia,Lorn,"27 Belmore Rd,, Lorn, NSW",Lorn,"Lorn, Lorn",151.558475,-32.728097,"Breakfast, Coffee and Tea",20,Dollar($),,No,No,No,No,2,3.6,Yellow,Good,18
17842104,Mr.,14,Australia,Macedon,"23 Victoria St, Macedon, VIC",Macedon,"Macedon, Macedon",144.564174,-37.423189,Cafe,20,Dollar($),,No,No,No,No,2,3.5,Yellow,Good,31
16611701,Star Buffet,14,Australia,Mayfield,"58 Hanbury St, Mayfield, NSW",Mayfield,"Mayfield, Mayfield",151.7343832,-32.899178,Asian,20,Dollar($),,No,No,No,No,2,2.9,Orange,Average,11
6703956,Super Grill,30,Brazil,Sí£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni Jí_nior, 1089, Santo Amaro, Sí£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, Sí£o Paulo",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),13,No,No,No,No,2,0,White,Not rated,2
6600681,Chez Michou,30,Brazil,Brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88178889,-15.76414167,"Fast Food, French",55,Brazilian Real(R$),14.3,No,No,No,No,2,3,Orange,Average,6
6710645,Cantinho da Gula,30,Brazil,Sí£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, Sí£o Paulo, SP",Itaim Bibi,"Itaim Bibi, Sí£o Paulo",-46.67566667,-23.581,Brazilian,55,Brazilian Real(R$),14.3,No,No,No,No,2,0,White,Not rated,0
6600441,Maori,30,Brazil,Brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",Asa Norte,"Asa Norte, Brasí_lia",-47.88816667,-15.75883333,Brazilian,60,Brazilian Real(R$),15.6,No,No,No,No,3,3.8,Yellow,Good,11
6601361,Buena Carne,30,Brazil,Brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas Claras,"íguas Claras, Brasí_lia",-48.01909167,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),15.6,No,No,No,No,3,3.6,Yellow,Good,9
7301215,Bibi,30,Brazil,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.18669167,-22.97207222,"Juices, Healthy Food",60,Brazilian Real(R$),15.6,No,No,No,No,3,4.7,Dark Green,Excellent,24
7300704,TT Burger,30,Brazil,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Burger,60,Brazilian Real(R$),15.6,No,No,No,No,3,4.8,Dark Green,Excellent,19
6701419,Divino Fogí£o,30,Brazil,Sí£o Paulo,"Shopping MetríÇ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, Sí£o Paulo","Shopping MetríÇ Santa Cruz, Vila Mariana","Shopping MetríÇ Santa Cruz, Vila Mariana, Sí£o Paulo",-46.63716667,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),16.9,No,No,No,No,3,0,White,Not rated,2
7304307,Confeitaria Colombo,30,Brazil,Rio de Janeiro,"Rua Goní_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),26,No,No,No,No,4,4.8,Dark Green,Excellent,29
7300955,Braseiro da Gíçvea,30,Brazil,Rio de Janeiro,"Praí_a Santos Dumont, 116, Gíçvea, Rio de Janeiro",Gíçvea,"Gíçvea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),26,No,No,No,No,4,4.9,Dark Green,Excellent,40
6700846,Kawa Sushi,30,Brazil,Sí£o Paulo,"Alameda Lorena, 300, Jardim Paulista, Sí£o Paulo",Jardim Paulista,"Jardim Paulista, Sí£o Paulo",-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),31.2,No,No,No,No,4,3.5,Yellow,Good,9
6701257,Meats,30,Brazil,Sí£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, Sí£o Paulo",Pinheiros,"Pinheiros, Sí£o Paulo",-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),31.2,No,No,No,No,4,4.3,Green,Very Good,68
6713772,Sainte Marie Gastronomia,30,Brazil,Sí£o Paulo,"Rua Dom Joí£o Batista da Costa, 70, Vila SíÇnia, Sí£o Paulo",Vila SíÇnia,"Vila SíÇnia, Sí£o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),31.2,No,No,No,No,4,4.1,Green,Very Good,11
7303219,Pesqueiro Eco Gourmet,30,Brazil,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida Lí_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),36.4,No,No,No,No,4,4,Green,Very Good,7
