Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
10/1/13,42685,3903525,70626.41,7988675.85,85494,258,1004,160
10/2/13,43450,3946975,73077,8061752.85,85773,279,1129,153
10/3/13,42371,3989346,70446.4,8132199.25,86333,560,1076,146
10/4/13,42232,4031578,75074.72,8207273.97,87112,779,1434,141
10/5/13,36024,4067602,72951.14,8280225.11,87862,750,2971,137
10/6/13,27841,4095443,49310.75,8329535.86,88604,742,1368,105
10/7/13,26350,4121793,40197.87,8369733.74,89189,585,421,78
10/8/13,40254,4162047,67151.3,8436885.03,89521,332,896,137
10/9/13,38784,4200831,60453.16,8497338.2,89769,248,714,98
10/10/13,32699,4233530,48977.37,8546315.57,89951,182,482,95
10/11/13,34878,4268408,56472.63,8602788.2,90121,170,798,90
10/12/13,34022,4302430,69386.36,8672174.56,90301,180,2855,162
10/13/13,30198,4332628,58253.01,8730427.56,90522,221,2208,122
10/14/13,34668,4367296,58222.87,8788650.44,90770,248,1291,118
10/15/13,39390,4406686,64384.11,8853034.55,90977,207,934,145
10/16/13,38743,4445429,62567.19,8915601.73,91171,194,789,118
10/17/13,38655,4484084,62782.38,8978384.12,91343,172,815,112
10/18/13,39913,4523997,67045.43,9045429.55,91551,208,1267,122
10/19/13,31044,4555041,58542.63,9103972.18,91659,108,2146,130
10/20/13,30691,4585732,59015.16,9162987.34,91815,156,2114,101
10/21/13,36698,4622430,61276.03,9224263.36,92029,214,849,93
10/22/13,38082,4660512,58309.86,9282573.23,92213,184,636,87
10/23/13,33803,4694315,49344.83,9331918.05,92324,111,355,66
10/24/13,33651,4727966,49520.22,9381438.28,92410,86,444,69
10/25/13,32326,4760292,49095.71,9430533.99,92505,95,592,77
10/26/13,25631,4785923,45286.3,9475820.28,92598,93,1387,65
10/27/13,25047,4810970,44389.52,9520209.81,92698,100,1362,98
10/28/13,32773,4843743,50799.69,9571009.5,92844,146,530,104
10/29/13,34631,4878374,52807.88,9623817.38,92944,100,450,101
10/30/13,36338,4914712,53509.93,9677327.31,93035,91,453,73
10/31/13,32517,4947229,50981.21,9728308.51,93137,102,464,83
11/1/13,31517,4978746,51110.53,9779419.04,93221,84,848,75
11/2/13,32184,5020262,63298,9856916,93320,94,2434,110
11/3/13,21503,5041814,33949,9890881,93424,104,831,65
11/4/13,28265,5070762,42173,9934968,93495,71,429,75
11/5/13,32668,5103438,48255,9983229,93598,103,471,69
11/6/13,36076,5139520,56300,10039538,93706,108,627,69
11/7/13,26679,5166303,37296,10076842,93804,93,221,43
11/8/2013,29719,5196337,45326,10123700,93859,61,456,54
11/9/2013,22548,5218897,38813,10162544,93918,59,1121,46
11/10/2013,20439,5239500,33572,10196513,93969,51,952,51
11/11/2013,28335,5267837,41988,10238502,94061,92,438,57
11/12/2013,20676,5288658,26743,10266212,94127,66,111,25
11/13/2013,24457,5313392,33093,10300465,94189,62,157,21
11/14/2013,27976,5341374,40091,10340560,94250,61,274,53
11/15/2013,30064,5371443,46078,10386644,94305,55,601,56
11/16/2013,26060,5397521,46782,10433454,94361,56,1696,50
11/17/2013,18691,5416348,29167,10464818,94425,64,652,43
11/18/2013,31860,5448586,50799,10516966,94533,108,515,60
11/19/2013,28395,5476989,38699,10555678,94593,60,198,44
11/20/2013,27158,5504242,37238,10593410,94652,59,252,41
11/21/2013,29819,5534306,42583,10637287,94697,51,289,49
11/22/2013,26332,5560644,38045,10675342,94739,42,352,42
11/23/2013,19619,5580273,31619,10706979,94768,29,858,32
11/24/2013,9690,5589970,12386,10719372,94808,40,137,7
11/25/2013,19834,5609977,26458,10746972,94843,35,118,32
11/26/2013,15519,5625498,20982,10767956,94873,30,89,17
11/27/2013,8311,5633988,11041,10782531,94897,24,49,10
11/28/2013,5420,5639409,9033,10791567,94912,15,211,16
11/29/2013,10527,5649937,16663,10808231,94928,16,351,19
11/30/2013,10182,5660120,16274,10824505,94955,27,401,17
12/1/2013,13792,5673915,20687,10845197,94997,42,456,26
12/2/2013,25440,5699726,38146,10884574,95071,74,240,45
12/3/2013,28454,5728183,41147,10925726,95140,69,252,47
12/4/2013,29151,5757338,43232,10968957,95197,57,252,60
12/5/2013,27956,5785481,40984,11012395,95250,53,311,35
12/6/2013,11140,5796766,15675,11033988,95296,46,62,11
12/7/2013,16097,5812864,23765,11057754,95334,38,456,20
12/8/2013,10409,5823279,13701,11071460,95354,20,180,15
12/9/2013,15434,5838792,19736,11093658,95401,35,58,16
12/10/2013,13354,5852244,18057,11112054,95418,34,39,7
12/11/2013,19461,5871814,25881,11139134,95444,26,93,17
12/12/2013,17799,5889688,22949,11162455,95479,35,69,12
12/13/2013,18498,5908310,26531,11191960,95507,28,161,17
12/14/2013,3800,5912116,5564,11197531,95516,9,39,1
12/15/2013,7715,5919833,10019,11207552,95535,19,76,11
12/16/2013,16167,5936086,21013,11230544,95568,33,67,22
12/17/2013,8139,5944375,11337,11242778,95596,28,15,7
12/18/2013,15482,5959861,20977,11263759,95628,32,89,16
12/19/2013,19429,5979346,26616,11292117,95662,34,157,15
12/20/2013,22855,6002335,33885,11327104,95687,25,365,33
12/21/2013,18574,6020913,31922,11359031,95723,36,962,41
12/22/2013,15617,6036533,26498,11385533,95765,42,741,50
