date	trips	temperature
10/01	42685	71
10/02	43450	74
10/03	42371	71
10/04	42232	76
10/05	36024	70
10/06	27841	68
10/07	26350	68
10/08	40254	61
10/09	38784	58
10/10	32699	60
10/11	34878	64
10/12	34022	66
10/13	30198	61
10/14	34668	59
10/15	39390	63
10/16	38743	62
10/17	38655	67
10/18	39913	62
10/19	31044	58
10/20	30691	57
10/21	36698	58
10/22	38082	59
10/23	33803	50
10/24	33651	48
10/25	32326	47
10/26	25631	48
10/27	25047	52
10/28	32773	52
10/29	34631	50
10/30	36338	54
10/31	32517	60
11/01	31517	65
11/02	32184	62
11/03	21503	46
11/04	28265	41
11/05	32668	48
11/06	36076	55
11/07	26679	54
11/08	29719	45
11/09	22548	44
11/10	20439	53
11/11	28335	48
11/12	20676	42
11/01	24457	34
11/14	27976	43
11/15	30064	51
11/16	26060	53
11/17	18691	56
11/18	31860	58
11/19	28395	44
11/20	27158	38
11/21	29819	44
11/22	26332	54
11/23	19619	43
11/24	9690	27
11/25	19834	29
11/26	15519	40
