Date,Trips over the past 24-hours (midnight to 11:59pm),Day of the week,,,
10/1/13,42685,Tues,,,
10/2/13,43450,Wed,,,
10/3/13,42371,Thu,,,
10/4/13,42232,Fri,,,
10/5/13,36024,Sat,,,
10/6/13,27841,Sun,,,
10/7/13,26350,Mon,,,
10/8/13,40254,Tues,,,
10/9/13,38784,Wed,,,
10/10/13,32699,Thu,,,
10/11/13,34878,Fri,,,
10/12/13,34022,Sat,,,
10/13/13,30198,Sun,,,
10/14/13,34668,Mon,,,
10/15/13,39390,Tues,,,
10/16/13,38743,Wed,,,
10/17/13,38655,Thu,,,
10/18/13,39913,Fri,,,
10/19/13,31044,Sat,,,
10/20/13,30691,Sun,,,
10/21/13,36698,Mon,,,
10/22/13,38082,Tues,,,
10/23/13,33803,Wed,,,
10/24/13,33651,Thu,,,
10/25/13,32326,Fri,,,
10/26/13,25631,Sat,,,
10/27/13,25047,Sun,,,
10/28/13,32773,Mon,,,
10/29/13,34631,Tues,,,
10/30/13,36338,Wed,,,
10/31/13,32517,Thu,,,
11/1/13,31517,Fri,,,
11/2/13,32184,Sat,,,
11/3/13,21503,Sun,,,
11/4/13,28265,Mon,,,
11/5/13,32668,Tues,,,
11/6/13,36076,Wed,,,
11/7/13,26679,Thu,,,
11/8/2013,29719,Fri,,,
11/9/2013,22548,Sat,,,
11/10/2013,20439,Sun,,,
11/11/2013,28335,Mon,,,
11/12/2013,20676,Tues,,,
11/13/2013,24457,Wed,,,
11/14/2013,27976,Thu,,,
11/15/2013,30064,Fri,,,
11/16/2013,26060,Sat,,,
11/17/2013,18691,Sun,,,
11/18/2013,31860,Mon,,,
11/19/2013,28395,Tues,,,
11/20/2013,27158,Wed,,,
11/21/2013,29819,Thu,,,
11/22/2013,26332,Fri,,,
11/23/2013,19619,Sat,,,
11/24/2013,9690,Sun,,,
11/25/2013,19834,Mon,,,
11/26/2013,15519,Tues,,,
,,,,,
Filter,,,,,
,,,,,
Day of the week,,,Count of days,avg for day of week,pct diff from avg
Fri,266981,15.23%,8,33373,2.12%
Mon,238783,13.63%,8,29848,-8.67%
Sat,227132,12.96%,8,28392,-13.12%
Sun,184100,10.51%,8,23013,-29.58%
Thu,264367,15.09%,7,37767,15.57%
Tues,292300,16.68%,8,36538,11.80%
Wed,278809,15.91%,7,39830,21.88%
Total Result,1752472,,,average day,
,,,,32679.7959183673,
